resultID,studyName,riskFactorName,fatality,fatalityLowerBound,fatalityUpperBound,fatalitypValue,fatalitySignificance,fatalityAdjusted,fatalityCalculated
36f38882e818,"Estimating Survival of Hospitalized COVID-19 Patients from Admission Information","Male gender","OR 1.22",1.07,1.39,<0.01,Significant,"Not Adjusted",Calculated
7bca14f72027,"Estimating Survival of Hospitalized COVID-19 Patients from Admission Information","Chronic kidney disease","OR 3.15",2.5,3.95,<0.01,Significant,"Not Adjusted",Calculated
814f4f782564,"Estimating Survival of Hospitalized COVID-19 Patients from Admission Information","Heart Failure","OR 4.00",3.04,5.25,<0.01,Significant,"Not Adjusted",Calculated
8c250b25f233,"Estimating Survival of Hospitalized COVID-19 Patients from Admission Information","Race_ Black vs","OR 0.55",0.46,0.66,<0.01,Significant,"Not Adjusted",Calculated
b102d64ccecd,"Estimating Survival of Hospitalized COVID-19 Patients from Admission Information",Hypertension,"OR 1.84",1.61,2.09,<0.01,Significant,"Not Adjusted",Calculated
ca90197cf139,"Estimating Survival of Hospitalized COVID-19 Patients from Admission Information","Heart Disease","OR 2.57",2.11,3.14,<0.01,Significant,"Not Adjusted",Calculated
e0e8eea94b8c,"Estimating Survival of Hospitalized COVID-19 Patients from Admission Information","Chronic respiratory diseases","OR 1.19",0.98,1.44,0.08,"Not Significant","Not Adjusted",Calculated
e24071a0c26a,"Estimating Survival of Hospitalized COVID-19 Patients from Admission Information","Ethnicity_ Hispanic vs","OR 0.52",0.44,0.63,<0.01,Significant,"Not Adjusted",Calculated
e4f1e68f07d5,"Estimating Survival of Hospitalized COVID-19 Patients from Admission Information","Race_ Asian vs","OR 0.79",0.62,1.01,0.06,"Not Significant","Not Adjusted",Calculated
7e50cf6335eb,"Ethnicity and risk of death in patients hospitalised for COVID-19 infection: an observational cohort study in an urban catchment area","Race_ Black vs",AHR=1.12,0.78,1.62,0.54,"Not Significant",Adjusted,Extracted
5fa29b618bf0,"Extent of prior lung irradiation and mortality in COVID-19 patients with a cancer history","Ethnicity_ Hispanic vs",HR=0.66,0.26,1.66,0.37,"Not Significant","Not Adjusted",Extracted
71c623f2185e,"Extent of prior lung irradiation and mortality in COVID-19 patients with a cancer history",Age,HR=1.01,0.98,1.05,0.37,"Not Significant","Not Adjusted",Extracted
09a5e8043c20,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Heart Failure",AHR=1.54,1.23,1.93,<0.05,Significant,Adjusted,Extracted
0f197f360e9a,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Chronic respiratory diseases",AHR=1.03,0.83,1.29,0.76,"Not Significant",Adjusted,Extracted
11ab20282de8,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study",Cancer,AHR=1.29,1.03,1.62,<0.05,Significant,Adjusted,Extracted
34083a2cc727,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Race_ Other vs",AHR=1.17,0.86,1.6,0.31,"Not Significant",Adjusted,Extracted
3d330f7b006a,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Smoking Status",AHR=1.07,0.88,1.31,0.49,"Not Significant",Adjusted,Extracted
48aead725566,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study",Hypertension,AHR=0.98,0.78,1.23,0.86,"Not Significant",Adjusted,Extracted
48f2fbeb5329,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Race_ Asian vs",AHR=1.26,0.91,1.75,0.16,"Not Significant",Adjusted,Extracted
4f8739ff44d7,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Overweight or obese",AHR=1.01,0.82,1.25,0.94,"Not Significant",Adjusted,Extracted
5f90526f6359,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study",Diabetes,AHR=1.01,0.85,1.21,0.87,"Not Significant",Adjusted,Extracted
6dcadbb9c6d4,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Heart Disease",AHR=1.10,0.9,1.35,0.36,"Not Significant",Adjusted,Extracted
7c377298bb48,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Chronic kidney disease",AHR=0.92,0.73,1.16,0.49,"Not Significant",Adjusted,Extracted
9e3033aa1710,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Male gender",AHR=0.92,0.77,1.11,0.39,"Not Significant",Adjusted,Extracted
a553b582333b,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Overweight or obese",AHR=1.45,0.99,2.13,0.05,"Not Significant",Adjusted,Extracted
d36ab5265212,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Overweight or obese",AHR=1.08,0.87,1.36,0.48,"Not Significant",Adjusted,Extracted
e2908b7eb0ce,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Race_ Black vs",AHR=0.71,0.53,0.94,<0.05,Significant,Adjusted,Extracted
e980de45bfca,"Factors associated with hospital admission and critical illness among 5279 people with coronavirus disease 2019 in New York City: prospective cohort study","Ethnicity_ Hispanic vs",AHR=1.21,0.98,1.49,0.07,"Not Significant",Adjusted,Extracted
58f6673b9f95,"Factors associated with hospitalization and critical illness among 4,103 patients with","Male gender",,,,,,,
6effc9131cc0,"Factors associated with hospitalization and critical illness among 4,103 patients with","Overweight or obese",,,,,,,
8bbe020d0145,"Factors associated with hospitalization and critical illness among 4,103 patients with",Cancer,,,,,,,
be5c024cc167,"Factors associated with hospitalization and critical illness among 4,103 patients with","Chronic kidney disease",,,,,,,
c0c4edc58663,"Factors associated with hospitalization and critical illness among 4,103 patients with","Heart Disease",,,,,,,
faa37da38908,"Factors associated with hospitalization and critical illness among 4,103 patients with","Heart Failure",,,,,,,
08d873bcb812,"Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19",Hypertension,,,,,,,
2def1cac9fcf,"Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19","Ethnicity_ Hispanic vs",,,,,,,
35df5e13f2bf,"Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19","Race_ Black vs",,,,,,,
44c2517dc324,"Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19","Chronic kidney disease",,,,,,,
6ae7e6a652ce,"Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19","Overweight or obese",,,,,,,
818cfb45602a,"Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19","Chronic respiratory diseases",,,,,,,
a0ff939a6ed9,"Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19","Race_ Asian vs",,,,,,,
af664786d4fe,"Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19",Diabetes,,,,,,,
d7ef64dd8422,"Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19",Cancer,,,,,,,
da5364dfa0d7,"Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19","Heart Disease",,,,,,,
ea6ec472056b,"Factors Associated With Intubation and Prolonged Intubation in Hospitalized Patients With COVID-19","Smoking Status",,,,,,,
8e3b8f0efeca,"Features of 16,749 hospitalised UK patients with COVID-19 using the ISARIC WHO Clinical Characterisation Protocol",COPD,"HR 1.19",1.05,1.34,<0.05,Significant,"Not Adjusted",Extracted
2ad361c68912,"Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.","Heart Disease",HR=1.16,1.08,1.24,<0.05,Significant,Adjusted,Extracted
7d55486646a8,"Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.","Overweight or obese",HR=1.33,1.19,1.49,<0.05,Significant,Adjusted,Extracted
a26937f249ce,"Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.",Dementia,HR=1.40,1.28,1.52,<0.05,Significant,Adjusted,Extracted
c3ef5fe9c11e,"Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.","Chronic respiratory diseases",HR=1.17,1.09,1.27,<0.05,Significant,Adjusted,Extracted
c985f465240f,"Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.",Diabetes,HR=1.06,0.99,1.14,0.09,"Not Significant",Adjusted,Extracted
e5c640dfdff7,"Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.","Chronic kidney disease",HR=1.28,1.18,1.39,<0.05,Significant,Adjusted,Extracted
e933520a8d32,"Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.",Cancer,HR=1.13,1.02,1.24,<0.05,Significant,Adjusted,Extracted
facdf756665f,"Features of 20 133 UK patients in hospital with covid-19 using the ISARIC WHO Clinical Characterisation Protocol: prospective observational cohort study.","Chronic liver disease",HR=1.51,1.21,1.88,<0.05,Significant,Adjusted,Extracted
0ccb4e6a673b,"Frailty and mortality in hospitalized older adults with COVID-19: retrospective observational study",Dementia,"OR 1.54",0.55,4.32,0.41,"Not Significant","Not Adjusted",Calculated
a6bfd9673c61,"Gender-Based Disparities in COVID-19: Clinical Characteristics and Propensity-matched Analysis of Outcomes","Male gender","RR 1.44",1.24,1.67,<0.01,Significant,Adjusted,Extracted
30bc8dac075c,"High prevalence of obesity in severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) requiring invasive mechanical ventilation","Overweight or obese",,,,,,,
73ca23eec09c,"High prevalence of obesity in severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) requiring invasive mechanical ventilation","Overweight or obese",,,,,,,
b6fc57717f50,"High prevalence of obesity in severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) requiring invasive mechanical ventilation",Age,,,,,,,
cb5a45d9c48f,"High prevalence of obesity in severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) requiring invasive mechanical ventilation",Age,,,,,,,
cdadc9889553,"High prevalence of obesity in severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) requiring invasive mechanical ventilation","Overweight or obese",,,,,,,
d321d225991a,"High prevalence of obesity in severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) requiring invasive mechanical ventilation","Overweight or obese",,,,,,,
d365bcede9f3,"High prevalence of obesity in severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) requiring invasive mechanical ventilation","Overweight or obese",,,,,,,
d6d6e87262b5,"High prevalence of obesity in severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) requiring invasive mechanical ventilation","Overweight or obese",,,,,,,
4b91ac078b2a,"Higher mortality in men from COVID19 infection-understanding the factors that drive the differences between the biological sexes.","Male gender","OR 1.84",1.8,1.88,<0.01,Significant,"Not Adjusted",Extracted
271590793f5a,"History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study","Chronic respiratory diseases","HR 1.1",0.4,2.5,0.55,"Not Significant","Not Adjusted",Extracted
2cd0823e530e,"History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study",Age,"AHR 1.0",1.0,1.1,<0.01,"Not Significant","Not Adjusted",Calculated
3fc98431311c,"History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study","Chronic kidney disease","HR 2.3",0.9,6.0,0.09,"Not Significant","Not Adjusted",Extracted
68f04d2fc023,"History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study",COPD,"AHR 1.9",0.9,3.9,0.1,"Not Significant",Adjusted,Extracted
7b54cba37347,"History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study","Heart Failure","HR 1.9",0.9,3.9,0.1,"Not Significant","Not Adjusted",Extracted
84867d2d5de1,"History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study","Cerebrovascular disease","AHR 1.9",0.9,3.8,0.07,"Not Significant",Adjusted,Extracted
85e3941afa56,"History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study",COPD,"HR 2.6",1.2,5.6,0.01,Significant,"Not Adjusted",Extracted
d9c16d752176,"History of coronary heart disease increases the mortality rate of COVID-19 patients: a nested case-control study","Cerebrovascular disease","HR 2.9",1.4,5.8,<0.01,Significant,"Not Adjusted",Extracted
95a4b29bd05b,"Host susceptibility to severe COVID-19 and establishment of a host risk score: findings of 487 cases outside Wuhan","Smoking Status",,,,,,,
2ed67828235d,"Hypertension and Renin-Angiotensin-Aldosterone System Inhibitors in Patients with Covid-19",Hypertension,"OR: 3.7",2.99,4.58,,Significant,"Not Adjusted",Extracted
343003201d97,"Hypertension and Renin-Angiotensin-Aldosterone System Inhibitors in Patients with Covid-19",Hypertension,"AOR 1.6",1.23,1.99,,Significant,Adjusted,Extracted
0dba68e2dd8c,"ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 2019","Heart Failure","OR 1.13",0.54,2.36,0.75,"Not Significant","Not Adjusted",Calculated
1a1fc06158cb,"ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 2019",Diabetes,"OR 1.08",0.59,1.96,0.8,"Not Significant","Not Adjusted",Calculated
1b068811b4f3,"ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 2019",Hypertension,"OR 1.15",0.62,2.13,0.65,"Not Significant","Not Adjusted",Calculated
339f3890c6e9,"ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 2019","Heart Disease","OR 2.03",0.92,4.49,0.08,"Not Significant","Not Adjusted",Calculated
5a71206837ba,"ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 2019","Race_ Black vs","OR 1.60",0.68,3.77,0.28,"Not Significant","Not Adjusted",Calculated
95a5be1a8c40,"ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 2019",COPD,"OR 0.83",0.29,2.42,0.74,"Not Significant","Not Adjusted",Calculated
fcc93676d148,"ICU and Ventilator Mortality Among Critically Ill Adults With Coronavirus Disease 2019","Chronic kidney disease","OR 2.68",1.39,5.17,<0.05,Significant,"Not Adjusted",Calculated
269685d08537,"ICU and ventilator mortality among critically ill adults with COVID-19","Chronic kidney disease","OR 1.82",0.92,3.61,0.09,"Not Significant","Not Adjusted",Calculated
4514a9a7a52f,"ICU and ventilator mortality among critically ill adults with COVID-19","Heart Disease","OR 2.53",1.11,5.79,0.03,Significant,"Not Adjusted",Calculated
6f80f749f343,"ICU and ventilator mortality among critically ill adults with COVID-19","Race_ Other vs","OR 0.45",0.17,1.16,0.1,"Not Significant","Not Adjusted",Calculated
702c81acc8a8,"ICU and ventilator mortality among critically ill adults with COVID-19",Hypertension,"OR 1.05",0.53,2.06,0.89,"Not Significant","Not Adjusted",Calculated
9cb37bfd6728,"ICU and ventilator mortality among critically ill adults with COVID-19",Diabetes,"OR 1.15",0.6,2.19,0.67,"Not Significant","Not Adjusted",Calculated
b769348ae1de,"ICU and ventilator mortality among critically ill adults with COVID-19","Heart Failure","OR 1.25",0.57,2.72,0.57,"Not Significant","Not Adjusted",Calculated
e1bd09d43b23,"ICU and ventilator mortality among critically ill adults with COVID-19","Race_ Black vs","OR 2.04",0.78,5.32,0.14,"Not Significant","Not Adjusted",Calculated
a6a03b60103c,"Impact of blood analysis and immune function on the prognosis of patients with COVID-19","Male gender","OR 3.18",0.82,12.4,0.09,"Not Significant","Not Adjusted",Calculated
0972ff32c0a7,"Impact of cardiovascular disease and cardiac injury on in-hospital mortality in patients with COVID-19: a systematic review and meta-analysis.",Hypertension,"OR: 3.67",2.31,5.83,,Significant,"Not Adjusted",Extracted
e348d4c09ca3,"Impact of cardiovascular disease and cardiac injury on in-hospital mortality in patients with COVID-19: a systematic review and meta-analysis.","Heart Disease","OR: 4.85",3.07,7.7,,Significant,"Not Adjusted",Extracted
825db82ed308,"Impact of Cerebrovascular and Cardiovascular Diseases on Mortality and Severity of COVID-19 â€“ Systematic Review, Meta-analysis, and Meta-regression","Cerebrovascular disease","RR 2.38",1.92,2.96,<0.01,Significant,"Not Adjusted",Extracted
d227b08fcb72,"Impact of Cerebrovascular and Cardiovascular Diseases on Mortality and Severity of COVID-19 â€“ Systematic Review, Meta-analysis, and Meta-regression","Heart Disease","RR 2.25",1.53,3.29,<0.01,Significant,"Not Adjusted",Extracted
39f386116dcf,"Impaired type I interferon activity and exacerbated inflammatory responses in severe Covid-19 patients","Male gender",,,,,,,
d4bf108c2508,"Impaired type I interferon activity and exacerbated inflammatory responses in severe Covid-19 patients",Hypertension,,,,,,,
fb3af693f7dc,"Incidence of venous thromboembolism in hospitalized patients with COVID-20","Male gender",,,,,,,
133229dd22c2,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",Cancer,,,,,,,
28f92532e7d6,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis",COPD,,,,,,,
33edf7003b7f,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis","Chronic kidney disease",,,,,,,
a495ae56e6b8,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis","Smoking Status",,,,,,,
cbadfc43b6dd,"Incidence, clinical characteristics and prognostic factor of patients with COVID-19: a systematic review and meta-analysis","Cerebrovascular disease",,,,,,,
4ad5e37e2033,"Influence factors of death risk among COVID-19 patients in Wuhan, China: a hospital-based case-cohort study","Smoking Status","RR 0.81",0.44,1.48,0.49,"Not Significant","Not Adjusted",Extracted
117381319fe1,"Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.",Diabetes,,,,,,,
1e6670d2577e,"Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.",Diabetes,OR=2.95,1.93,4.53,,Significant,"Not Adjusted",Extracted
8e4f1418ff2a,"Influence of diabetes mellitus on the severity and fatality of SARS-CoV-2 infection.",Diabetes,,,,,,,
0702c6999cdd,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Ethnicity_ Hispanic vs","RR 1.17",0.91,1.51,,"Not Significant",Adjusted,Extracted
1fe612bd26d5,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Chronic kidney disease","RR 1.33",1.1,1.61,,Significant,Adjusted,Extracted
26e83b0a4e93,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Overweight or obese","RR 1.09",0.92,1.3,,"Not Significant",Adjusted,Extracted
27e12e8789b1,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Autoimmune disorders","RR 0.87",0.66,1.16,,"Not Significant",Adjusted,Extracted
28cb37cd026e,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Neurological disorders","RR 2.10",1.72,2.56,,Significant,"Not Adjusted",Extracted
29904a27e14c,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Race_ Black vs","RR 1.07",0.85,1.35,,"Not Significant",Adjusted,Extracted
299cd24a15b6,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Immune system disorders","RR 1.39",1.13,1.7,,Significant,Adjusted,Extracted
355d64bfec57,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Heart Disease","RR 2.85",2.42,3.36,,Significant,"Not Adjusted",Extracted
373f01ca6cd1,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Smoking Status","RR 1.75",1.51,2.04,,Significant,"Not Adjusted",Extracted
3df82cf07508,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)",Hypertension,"RR 1.07",0.79,1.45,,"Not Significant",Adjusted,Extracted
4d038c0e5da2,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Chronic kidney disease","RR 2.45",2.04,2.93,,Significant,"Not Adjusted",Extracted
4d888e230228,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Race_ Black vs","RR 0.75",0.5,0.99,,Significant,"Not Adjusted",Extracted
63e2c56b2793,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)",Diabetes,"RR 1.44",1.2,1.72,,Significant,"Not Adjusted",Extracted
65c2b7ceb604,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Chronic respiratory diseases","RR 1.56",1.27,1.91,,Significant,"Not Adjusted",Extracted
6e4b1ef31520,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Immune system disorders","RR 1.58",1.33,1.88,,Significant,"Not Adjusted",Extracted
6f1c242689b1,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Heart Disease","RR 1.28",1.03,1.58,,Significant,Adjusted,Extracted
7b24da0d8523,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Overweight or obese","RR 0.73",0.61,0.86,,Significant,"Not Adjusted",Extracted
87c8f9d95577,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Smoking Status","RR 1.14",0.98,1.33,,"Not Significant",Adjusted,Extracted
9233e75cf89a,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Race_ Other vs","RR 1.26",0.86,1.82,,"Not Significant",Adjusted,Extracted
939511f41948,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Neurological disorders","RR 1.25",1.04,1.5,,Significant,Adjusted,Extracted
abb36e5811b6,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Chronic respiratory diseases","RR 1.31",1.13,1.52,,Significant,Adjusted,Extracted
b57772424da1,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)",Hypertension,"RR 2.18",1.66,2.86,,Significant,"Not Adjusted",Extracted
c0ba70ae55e1,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Autoimmune disorders","RR 1.53",1.03,2.29,,Significant,"Not Adjusted",Extracted
c2dc4dfcf7fc,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Ethnicity_ Hispanic vs","RR 0.42",0.32,0.56,,Significant,"Not Adjusted",Extracted
c5ee469b64f6,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)","Race_ Other vs","RR 0.82",0.54,1.25,,"Not Significant","Not Adjusted",Extracted
e0cac441c939,"Interim Analysis of Risk Factors for Severe Outcomes among a Cohort of Hospitalized Adults Identified through the U.S. Coronavirus Disease 2019 (COVID-19)-Associated Hospitalization Surveillance Network (COVID-NET)",Diabetes,"RR 1.19",1.01,1.4,,Significant,Adjusted,Extracted
d7565403492e,"Is diabetes mellitus associated with mortality and severity of COVID-19? A meta-analysis",Diabetes,"OR 1.90",1.37,2.64,,Significant,"Not Adjusted",Extracted
3d7e6619de33,"Key predictors of attending hospital with COVID19: An association study from the COVID Symptom Tracker App in 2,618,948 individuals","Male gender",,,,,,,
c83ebfa3c5f8,"Key predictors of attending hospital with COVID19: An association study from the COVID Symptom Tracker App in 2,618,948 individuals","Overweight or obese",,,,,,,
90a9ca998fe9,"Key to successful treatment of COVID-19: accurate identification of severe risks and early intervention of disease progression","Male gender",,,,,,,
b1b8fc7b1de8,"Kidney Allograft Recipients Diagnosed with Coronavirus Disease-2019: A Single Center Report","Male gender",,,,,,,
11b006e3f300,"Longitudinal association between markers of liver injury and mortality in COVIDâ€19 in China","Chronic liver disease",,,,,,,
b317193cd8da,"Longitudinal association between markers of liver injury and mortality in COVIDâ€19 in China","Male gender",,,,,,,
26bd99dad6ce,"Low dose of hydroxychloroquine reduces fatality of critically ill patients with COVID-19",COPD,AHR=0.77,0.31,1.93,0.58,"Not Significant",Adjusted,Extracted
2a341f63eaa1,"Low dose of hydroxychloroquine reduces fatality of critically ill patients with COVID-19",Diabetes,HR=0.64,0.45,0.93,<0.05,Significant,"Not Adjusted",Extracted
40ea9be10584,"Low dose of hydroxychloroquine reduces fatality of critically ill patients with COVID-19",Age,AHR=1.02,1.01,1.03,<0.05,Significant,Adjusted,Extracted
492cf5f9b2d6,"Low dose of hydroxychloroquine reduces fatality of critically ill patients with COVID-19",Hypertension,HR=0.73,0.57,0.94,<0.05,Significant,"Not Adjusted",Extracted
69a6b1b8f48a,"Low dose of hydroxychloroquine reduces fatality of critically ill patients with COVID-19",Diabetes,AHR=0.57,0.35,0.92,<0.05,Significant,Adjusted,Extracted
